audio_id,类型,biz_group,uuid,user_id,member_id,member_id_marked,年龄,性别,唤醒词,asr,备注
0325617_66ebb6b4_1CD9.ogg,注册,,,11556,1748119,1748119,成人,女,天猫精灵,天猫精灵,
0344509_75bafab5_1CD9.ogg,注册,,,11556,1748119,1748119,成人,女,天猫精灵,天猫精灵,
0400409_2b11d7ec_1CD9.ogg,注册,,,11556,1748119,1748119,成人,女,天猫精,天猫精,
0414322_3850b31b_1CD9.ogg,注册,,,11556,1748119,1748119,成人,女,天猫精灵,天猫精灵,
131302535_28179E79.ogg,注册,,,12005,64241,64241,成人,女,天猫精灵,天猫精灵,
131311319_51999E79.ogg,注册,,,12005,64241,64241,成人,女,天猫精灵,天猫精灵,
131338919_43009E79.ogg,注册,,,12005,64241,64241,成人,女,天猫精灵,天猫精灵,
131414368_20039E79.ogg,注册,,,12005,64241,64241,成人,女,天猫精灵,天猫精灵,
150856355_31889E79.ogg,注册,,,12005,64823,64823,成人,男,天猫精灵,天猫精灵,
150905295_43539E79.ogg,注册,,,12005,64823,64823,成人,男,天猫精灵,天猫精灵,
150925562_03739E79.ogg,注册,,,12005,64823,64823,成人,男,天猫精灵,天猫精灵,
151153861_45479E79.ogg,注册,,,12005,64823,64823,成人,男,天猫精灵,天猫精灵,
151028177_48179E79.ogg,注册,,,12005,64826,64826,成人,男,天猫精灵,天猫精灵,
151049796_05979E79.ogg,注册,,,12005,64826,64826,成人,男,天猫精灵,天猫精灵,
151111799_71629E79.ogg,注册,,,12005,64826,64826,成人,男,天猫精灵,天猫精灵,
153546214_09999E79.ogg,注册,,,12005,64826,64826,成人,男,天猫精灵,天猫精灵,
133246530_34082A56.ogg,注册,,,12043,8776,8776,成人,女,天猫精灵,天猫精灵,
133253822_36142A56.ogg,注册,,,12043,8776,8776,成人,女,天猫精灵,天猫精灵,
133319751_51462A56.ogg,注册,,,12043,8776,8776,成人,女,天猫精灵,天猫精灵,
133353939_37612A56.ogg,注册,,,12043,8776,8776,成人,女,天猫精灵,天猫精灵,
091445896_92872E22.ogg,注册,,,12043,51361,51361,成人,女,天猫精灵,天猫精灵,
091455691_24102E22.ogg,注册,,,12043,51361,51361,成人,女,天猫精灵,天猫精灵,
091522856_92862E22.ogg,注册,,,12043,51361,51361,成人,女,天猫精灵,天猫精灵,
173852294_94072E22.ogg,注册,,,12043,51361,51361,成人,女,天猫精灵,天猫精灵,
081244327_09932E22.ogg,注册,,,12043,54962,54962,成人,男,天猫精灵,天猫精灵,
081253288_01412E22.ogg,注册,,,12043,54962,54962,成人,男,天猫精灵,天猫精灵,
081323204_18512E22.ogg,注册,,,12043,54962,54962,成人,男,天猫精灵,天猫精灵,
081355896_23482E22.ogg,注册,,,12043,54962,54962,成人,男,天猫精灵,天猫精灵,
4624236_79cddb72_D692.ogg,注册,,,12043,1131949,54962,成人,男,天猫精灵,天猫精灵,
4633385_f6d5c231_D692.ogg,注册,,,12043,1131949,54962,成人,男,天猫精灵,天猫精灵,
